QSO RA Dec zem zmin zmax zabs logN elogN
"SDSS J140208.47+485209.6" 210.53531 48.8694 3.059 2.398 2.992 nan nan nan
"SDSS J140213.64+352908.5" 210.55685 35.4857 2.359 2.307 2.304 nan nan nan
"SDSS J140224.15+003002.2" 210.60065 0.5006 2.418 2.307 2.362 nan nan nan
"SDSS J140226.71+050353.7" 210.61130 5.0649 2.968 2.307 2.903 nan nan nan
"SDSS J140237.22+493259.9" 210.65512 49.5500 3.109 2.307 3.042 nan nan nan
"SDSS J140243.97+590958.9" 210.68325 59.1664 4.135 3.303 4.051 3.7789 21.75 0.20
"SDSS J140246.24+445013.2" 210.69270 44.8370 4.045 3.256 3.962 nan nan nan
"SDSS J140248.07+014634.1" 210.70033 1.7761 4.161 2.961 4.076 3.2773 20.95 0.15
"SDSS J140252.00+550430.5" 210.71671 55.0752 2.441 2.307 2.385 nan nan nan
"SDSS J140306.48+645532.3" 210.77703 64.9257 2.466 2.307 2.409 nan nan nan
"SDSS J140308.27+433802.7" 210.78449 43.6341 3.652 3.284 3.576 nan nan nan
"UM 629" 210.84748 -0.1019 2.462 2.307 2.405 nan nan nan
"[HB89] 1400+095" 210.86043 9.3455 2.980 2.022 2.915 nan nan nan
"SDSS J140336.66+395916.6" 210.90277 39.9880 3.060 2.675 2.993 nan nan nan
"SDSS J140337.05+403205.9" 210.90441 40.5350 4.052 3.552 3.969 nan nan nan
"SDSS J140345.52+555128.5" 210.93969 55.8579 3.177 2.309 3.108 nan nan nan
"SDSS J140354.57+543246.8" 210.97739 54.5463 3.258 2.645 3.188 nan nan nan
"SDSS J140355.68+412617.2" 210.98202 41.4381 3.862 2.866 3.782 nan nan nan
"SDSS J140359.38+355806.2" 210.99744 35.9684 2.504 2.345 2.447 nan nan nan
"SDSS J140400.34+443906.0" 211.00144 44.6517 3.546 2.855 3.471 nan nan nan
"SDSS J140404.23+124859.0" 211.01764 12.8164 3.187 2.518 3.118 nan nan nan
"SDSS J140404.63+031403.9" 211.01934 3.2344 4.924 3.998 4.825 nan nan nan
"SDSS J140405.37+365607.6" 211.02240 36.9355 2.666 2.307 2.606 nan nan nan
"SDSS J140409.73+350702.0" 211.04058 35.1172 2.475 2.307 2.418 nan nan nan
"SDSS J140423.04+400511.0" 211.09601 40.0864 3.950 3.443 3.869 nan nan nan
"SDSS J140425.15+391504.5" 211.10482 39.2513 3.622 2.615 3.546 nan nan nan
"SDSS J140428.54+400257.4" 211.11895 40.0493 2.935 2.532 2.870 nan nan nan
"SDSS J140432.99+072846.9" 211.13747 7.4797 2.866 2.307 2.803 nan nan nan
"SDSS J140433.54+424512.5" 211.13977 42.7535 4.212 3.370 4.126 nan nan nan
"SDSS J140437.93-022137.4" 211.15808 -2.3604 2.933 2.307 2.868 nan nan nan
"SDSS J140438.26+402039.8" 211.15943 40.3444 3.631 3.173 3.555 3.3620 20.65 0.15
"SDSS J140439.87+580509.0" 211.16615 58.0859 2.371 2.307 2.316 nan nan nan
"UM 632" 211.19123 -1.5061 2.507 2.307 2.449 nan nan nan
"[HB89] 1402+044" 211.25467 4.2599 3.215 2.533 3.146 2.7076 20.90 0.15
"SDSS J140503.29+334149.8" 211.26371 33.6972 4.467 3.613 4.376 nan nan nan
"SDSS J140504.25+031026.7" 211.26773 3.1741 2.403 2.307 2.347 nan nan nan
"SDSS J140512.59+522114.3" 211.30253 52.3540 3.843 2.885 3.764 2.9804 20.70 0.15
"SDSS J1405+0507" 211.34032 5.1290 2.991 2.307 2.926 nan nan nan
"SDSS J140523.53+370500.9" 211.34806 37.0836 2.886 2.501 2.822 2.5059 20.10 0.20
"SDSS J140525.49+552837.4" 211.35623 55.4771 3.206 2.413 3.137 nan nan nan
"SDSS J140525.63+404356.0" 211.35681 40.7322 2.483 2.352 2.426 nan nan nan
"SDSS J140529.01+063513.9" 211.37089 6.5872 3.879 2.913 3.799 nan nan nan
"SDSS J140542.95+345550.4" 211.42898 34.9307 3.065 2.654 2.998 nan nan nan
"SDSS J140543.72+650142.0" 211.43220 65.0284 2.977 2.604 2.912 nan nan nan
"SDSS J140554.06-000036.8" 211.47530 -0.0103 3.550 3.099 3.475 nan nan nan
"SDSS J140600.95+072518.4" 211.50398 7.4218 3.034 2.307 2.968 nan nan nan
"SDSS J140602.16+590443.2" 211.50905 59.0787 2.366 2.307 2.311 nan nan nan
"SDSS J140602.63+391235.8" 211.51098 39.2100 2.888 2.494 2.824 nan nan nan
"SDSS J140606.68+352707.8" 211.52788 35.4522 3.405 3.067 3.333 nan nan nan
"SDSS J140620.41+135958.9" 211.58505 13.9997 3.201 2.843 3.132 nan nan nan
"SDSS J140633.01+513017.3" 211.63755 51.5048 3.040 2.417 2.974 nan nan nan
"SDSS J140637.31-030331.5" 211.65547 -3.0588 2.443 2.307 2.387 nan nan nan
"SDSS J140637.60+141530.0" 211.65670 14.2584 2.926 2.307 2.862 nan nan nan
"SDSS J140641.51+585214.0" 211.67299 58.8706 3.083 2.706 3.016 2.9864 21.05 0.15
"SDSS J140641.79+054453.0" 211.67415 5.7481 3.043 2.429 2.977 nan nan nan
"SDSS J140650.01+411301.2" 211.70842 41.2170 2.393 2.307 2.337 nan nan nan
"SDSS J140653.84+343337.3" 211.72436 34.5604 2.567 2.307 2.508 2.4995 20.00 0.20
"SDSS J140655.66+631523.7" 211.73193 63.2566 2.533 2.380 2.475 nan nan nan
"SDSS J140702.57+552217.3" 211.76075 55.3715 3.191 2.831 3.122 nan nan nan
"SDSS J140705.25+065054.7" 211.77192 6.8486 3.037 2.637 2.971 nan nan nan
"SDSS J140709.34+012420.0" 211.78894 1.4056 3.326 2.572 3.255 2.7113 20.60 0.20
"SDSS J140711.70+431230.7" 211.79877 43.2086 2.584 2.307 2.525 nan nan nan
"SDSS J140728.18+373619.4" 211.86746 37.6054 3.359 2.455 3.287 nan nan nan
"SDSS J140729.39+011218.2" 211.87246 1.2051 3.062 2.329 2.995 nan nan nan
"SDSS J140742.21+590135.3" 211.92595 59.0265 2.401 2.307 2.345 nan nan nan
"SDSS J140744.05+355448.0" 211.93356 35.9134 3.657 2.916 3.581 nan nan nan
"SDSS J140747.22+645419.9" 211.94670 64.9055 3.081 2.307 3.014 2.9349 20.20 0.20
"SDSS J140754.53+001312.1" 211.97722 0.2200 3.713 3.285 3.636 nan nan nan
"SDSS J140755.06+465750.8" 211.97944 46.9641 2.479 2.307 2.422 nan nan nan
"SDSS J140802.98+535154.2" 212.01245 53.8651 4.037 2.913 3.954 3.4605 20.10 0.20
"SDSS J140815.58+060023.2" 212.06495 6.0065 2.580 2.307 2.521 nan nan nan
"SDSS J140817.26+401155.3" 212.07196 40.1987 3.175 2.748 3.107 nan nan nan
"[HB89] 1406+123" 212.16218 12.1194 2.940 2.018 2.875 nan nan nan
"SDSS J140838.93+350330.9" 212.16223 35.0587 3.639 3.463 3.563 nan nan nan
"SDSS J140841.77-021502.5" 212.17407 -2.2507 3.315 2.631 3.244 nan nan nan
"SDSS J140850.91+020522.6" 212.21215 2.0896 4.008 2.837 3.926 nan nan nan
"SBS 1407+586" 212.22595 58.4129 3.120 2.307 3.052 2.3802 20.85 0.20
"SDSS J140904.15+541023.6" 212.26729 54.1733 2.483 2.307 2.426 nan nan nan
"SDSS J140906.47+385350.2" 212.27698 38.8973 3.435 2.695 3.362 2.8255 20.70 0.20
"SDSS J140906.90+353112.3" 212.27878 35.5201 3.048 2.667 2.982 nan nan nan
"SDSS J140909.22+060548.4" 212.28846 6.0968 3.115 2.803 3.047 nan nan nan
"SDSS J140909.74+071226.1" 212.29062 7.2073 2.734 2.352 2.673 nan nan nan
"SDSS J140923.36+485101.0" 212.34736 48.8503 2.520 2.320 2.462 nan nan nan
"SDSS J140927.30-021828.4" 212.36376 -2.3079 3.433 3.314 3.360 nan nan nan
"SDSS J140931.62+531146.7" 212.38178 53.1963 3.781 2.761 3.703 3.1548 20.25 0.20
nan nan nan nan nan nan 3.4371 20.25 0.20
"SDSS J140934.37+422737.1" 212.39321 42.4603 3.025 2.325 2.959 nan nan nan
"SDSS J140938.23-012511.2" 212.40932 -1.4198 2.425 2.307 2.369 nan nan nan
"SDSS J141001.07+653703.1" 212.50451 65.6175 2.539 2.307 2.481 nan nan nan
"SDSS J141007.73+530719.4" 212.53221 53.1221 3.110 2.689 3.043 nan nan nan
"SDSS J141009.65+624834.1" 212.54022 62.8095 2.447 2.307 2.390 nan nan nan
"SDSS J141020.77+531316.9" 212.58658 53.2214 3.223 2.307 3.154 nan nan nan
"UM 642" 212.61008 -0.8360 2.371 2.307 2.316 nan nan nan
"SDSS J141030.60+511113.5" 212.62753 51.1871 3.206 2.352 3.137 2.9344 20.80 0.15
nan nan nan nan nan nan 2.9642 20.85 0.20
"SBS 1408+550" 212.67503 54.7720 2.485 2.307 2.428 nan nan nan
"FIRST J1410+3409" 212.69112 34.1562 4.351 3.026 4.263 nan nan nan
"SDSS J141052.99-023256.9" 212.72082 -2.5492 2.517 2.307 2.459 nan nan nan
"SDSS J141053.53+373301.9" 212.72305 37.5506 3.595 2.677 3.520 nan nan nan
"SDSS J141059.61+472733.3" 212.74842 47.4593 2.901 2.349 2.837 nan nan nan
"SDSS J141059.92+141811.7" 212.74971 14.3033 3.140 2.332 3.072 nan nan nan
"SDSS J141104.13+521755.4" 212.76722 52.2988 2.883 2.496 2.819 nan nan nan
"SDSS J141116.65+344049.9" 212.81939 34.6805 3.250 2.823 3.180 nan nan nan
"SDSS J141123.17+360210.5" 212.84656 36.0363 3.070 2.405 3.003 2.8369 20.55 0.20
"SDSS J141147.68+142153.8" 212.94868 14.3650 3.544 2.533 3.469 nan nan nan
"SDSS J141155.91+403031.8" 212.98298 40.5089 3.330 2.508 3.259 2.8778 20.15 0.20
"SDSS J141204.61+554724.9" 213.01922 55.7903 2.394 2.307 2.338 nan nan nan
"SDSS J141209.96+062406.9" 213.04154 6.4019 4.411 3.566 4.321 4.1090 20.35 0.20
"[HB89] 1409+095" 213.07205 9.2735 2.860 1.979 2.797 2.4561 20.50 0.20
"SDSS J141244.10+334426.7" 213.18378 33.7408 3.461 3.020 3.388 nan nan nan
"SDSS J141251.99+511124.7" 213.21664 51.1902 3.197 2.519 3.128 nan nan nan
"SDSS J141254.37+541410.8" 213.22658 54.2364 4.329 3.418 4.242 nan nan nan
"SDSS J141254.79+355948.3" 213.22833 35.9968 2.459 2.307 2.402 nan nan nan
"2MASSi J1413136+411636" 213.30674 41.2772 2.616 2.307 2.557 nan nan nan
"SDSS J141315.21+640526.2" 213.31344 64.0906 3.084 2.401 3.017 nan nan nan
"SDSS J141318.86+371927.8" 213.32859 37.3244 2.709 2.329 2.648 nan nan nan
"SDSS J141318.86+450522.9" 213.32861 45.0897 3.120 2.542 3.052 nan nan nan
"[HB89] 1410+096" 213.33774 9.3680 3.210 2.099 3.141 nan nan nan
"SDSS J141322.43+523249.7" 213.34347 52.5472 3.707 3.242 3.630 nan nan nan
"SDSS J141327.46+523851.8" 213.36442 52.6477 3.153 3.062 3.085 nan nan nan
"SDSS J141332.35-004909.5" 213.38482 -0.8193 4.138 3.629 4.054 nan nan nan
"SDSS J141332.53+495041.4" 213.38556 49.8449 2.642 2.331 2.582 nan nan nan
"FBQS J141334.4+421201" 213.39332 42.2005 2.817 2.439 2.754 nan nan nan
"SDSS J141342.62+040536.1" 213.42761 4.0934 2.436 2.307 2.380 nan nan nan
"SDSS J141359.00+064359.5" 213.49587 6.7332 3.477 2.701 3.404 nan nan nan
"SDSS J141404.15+395543.5" 213.51733 39.9288 3.213 2.320 3.144 nan nan nan
"SDSS J141420.77+562933.0" 213.58656 56.4925 2.390 2.307 2.334 nan nan nan
"SDSS J141421.80+060520.5" 213.59088 6.0891 2.604 2.387 2.545 nan nan nan
"SDSS J141422.55+140126.0" 213.59400 14.0239 2.775 2.388 2.713 nan nan nan
"SDSS J141431.47+342809.2" 213.63116 34.4693 2.996 2.659 2.930 nan nan nan
"SDSS J141436.72+464838.2" 213.65305 46.8106 2.350 2.307 2.295 nan nan nan
"SDSS J141513.99+365412.2" 213.80833 36.9034 2.915 2.527 2.851 nan nan nan
"SDSS J141521.04+035354.5" 213.83767 3.8985 3.243 2.384 3.173 nan nan nan
"FBQS J141528.4+370621" 213.86861 37.1059 2.370 2.307 2.315 nan nan nan
"SDSS J141546.88+465342.4" 213.94535 46.8951 3.267 2.537 3.197 nan nan nan
"SDSS J141552.49+125730.8" 213.96873 12.9586 2.444 2.307 2.388 nan nan nan
"SDSS J141555.35+424158.8" 213.98064 42.6997 2.585 2.315 2.526 nan nan nan
"SDSS J141607.28+383153.6" 214.03037 38.5316 3.524 3.264 3.450 nan nan nan
"SDSS J141608.39+181144.0" 214.03497 18.1956 3.593 2.266 3.518 2.6635 19.70 0.15
"SDSS J141608.43+064431.8" 214.03517 6.7422 3.148 2.307 3.080 nan nan nan
"SDSS J141610.25+494730.4" 214.04273 49.7918 3.107 2.704 3.040 nan nan nan
"SDSS J141618.64+410656.8" 214.07770 41.1158 2.380 2.314 2.325 nan nan nan
"SDSS J141624.12+623019.3" 214.10050 62.5054 3.075 2.368 3.008 nan nan nan
"SDSS J141631.70+025309.8" 214.13211 2.8861 2.468 2.307 2.411 nan nan nan
"SDSS J141633.37+074513.7" 214.13906 7.7538 2.631 2.317 2.571 nan nan nan
"SDSS J141637.07+135436.1" 214.15450 13.9101 2.378 2.307 2.323 nan nan nan
"SDSS J141657.93+123431.6" 214.24138 12.5755 2.614 2.307 2.555 nan nan nan
"SDSS J141738.53+534251.0" 214.41060 53.7142 2.583 2.307 2.524 nan nan nan
"SDSS J141744.05+044948.1" 214.43355 4.8301 2.659 2.322 2.599 nan nan nan
"SDSS J141802.90+501656.4" 214.51211 50.2824 2.453 2.314 2.396 nan nan nan
"[HB89] 1415+093" 214.53643 9.1272 2.510 2.307 2.452 nan nan nan
"SDSS J141811.40-021724.0" 214.54752 -2.2900 3.332 2.631 3.261 nan nan nan
"SDSS J141812.81+453132.1" 214.55339 45.5256 2.599 2.307 2.540 nan nan nan
"SDSS J141815.63+351204.5" 214.56514 35.2012 3.125 3.081 3.057 nan nan nan
"SDSS J141817.90+033727.3" 214.57462 3.6243 2.393 2.307 2.337 nan nan nan
"SDSS J141819.22+044135.0" 214.58009 4.6931 2.500 2.307 2.443 nan nan nan
"SDSS J141822.89+585806.4" 214.59545 58.9684 2.785 2.398 2.723 nan nan nan
"SDSS J141827.31+553631.1" 214.61384 55.6086 3.668 2.690 3.591 nan nan nan
"SDSS J141830.86+612500.5" 214.62863 61.4168 3.218 2.478 3.149 nan nan nan
"SDSS J141831.70+444937.5" 214.63210 44.8271 4.323 2.974 4.236 nan nan nan
"SDSS J141831.72+065711.2" 214.63219 6.9531 2.401 2.307 2.345 nan nan nan
"SDSS J141837.13+441503.5" 214.65475 44.2510 2.932 2.307 2.867 nan nan nan
"SDSS J141849.09+123144.6" 214.70455 12.5291 3.200 3.040 3.131 nan nan nan
"SDSS J141857.11+635524.4" 214.73803 63.9235 3.116 2.479 3.048 nan nan nan
"SDSS J141904.08+495033.1" 214.76703 49.8426 2.997 2.308 2.931 nan nan nan
"SDSS J141914.18-015012.6" 214.80912 -1.8369 4.590 3.717 4.497 nan nan nan
"SDSS J141919.45+574513.9" 214.83106 57.7539 3.339 2.673 3.268 2.9782 20.25 0.20
"SDSS J141925.48+074953.5" 214.85618 7.8315 2.382 2.307 2.327 nan nan nan
"SDSS J141950.54+082948.2" 214.96062 8.4967 3.034 2.307 2.968 nan nan nan
"SDSS J141956.80+423630.3" 214.98669 42.6084 2.341 2.307 2.286 nan nan nan
"SDSS J142007.73+484843.2" 215.03221 48.8120 3.252 2.581 3.182 nan nan nan
"SDSS J142008.21+463126.2" 215.03423 46.5240 3.206 2.836 3.137 nan nan nan
"SDSS J142014.98+404252.4" 215.06246 40.7146 3.860 3.367 3.780 3.5623 20.05 0.20
"SDSS J142024.68+140122.1" 215.10284 14.0228 2.392 2.307 2.336 nan nan nan
"SDSS J142025.75+615510.0" 215.10731 61.9194 4.448 3.597 4.357 4.1140 20.60 0.20
"SDSS J142028.83+054425.3" 215.12016 5.7404 2.430 2.307 2.374 nan nan nan
"SDSS J142030.09+344127.2" 215.12539 34.6909 3.975 3.192 3.893 nan nan nan
"SDSS J142033.15-020551.9" 215.13815 -2.0978 3.307 2.566 3.236 nan nan nan
"SDSS J142033.25-003233.3" 215.13858 -0.5426 2.682 2.315 2.622 nan nan nan
"SDSS J142034.42+064358.8" 215.14344 6.7330 3.397 2.946 3.325 3.2853 20.05 0.20
"SDSS J142036.06+471432.4" 215.15029 47.2424 3.233 2.481 3.164 nan nan nan
"SDSS J142045.34+084332.0" 215.18895 8.7256 3.235 2.801 3.166 nan nan nan
"SDSS J142103.83+343332.0" 215.26596 34.5589 4.815 4.242 4.720 nan nan nan
"PKS B1418-064" 215.28232 -6.7323 3.688 2.356 3.611 2.7525 19.50 0.15
nan nan nan nan nan nan 3.4490 20.30 0.15
"SDSS J142120.80+394720.4" 215.33673 39.7890 3.035 2.397 2.969 nan nan nan
"SDSS J142123.97+463318.0" 215.34996 46.5550 3.365 2.307 3.293 nan nan nan
"SDSS J142129.39+522752.0" 215.37248 52.4644 3.205 2.339 3.136 nan nan nan
"SDSS J142141.51+133722.7" 215.42300 13.6230 2.989 2.366 2.924 nan nan nan
"SDSS J142144.98+351315.4" 215.43745 35.2210 4.599 3.724 4.506 nan nan nan
"SDSS J142158.70+061654.1" 215.49463 6.2817 3.891 2.988 3.811 nan nan nan
"SDSS J142200.93+074028.9" 215.50388 7.6747 2.526 2.334 2.468 nan nan nan
"SDSS J142203.06+134018.1" 215.51277 13.6717 3.772 2.684 3.694 3.1484 20.20 0.20
"SDSS J142209.11+005436.2" 215.53798 0.9101 3.671 2.691 3.594 nan nan nan
"SDSS J142216.59+073730.4" 215.56915 7.6251 3.234 2.575 3.165 nan nan nan
"SDSS J142225.66+121900.4" 215.60696 12.3168 3.046 2.707 2.980 nan nan nan
"SDSS J142231.09+091954.2" 215.62958 9.3317 3.548 2.746 3.473 3.3710 20.10 0.20
"SDSS J142233.84+462034.5" 215.64104 46.3429 3.321 2.923 3.250 nan nan nan
"SDSS J142239.87+420220.3" 215.66618 42.0390 3.236 2.948 3.167 nan nan nan
"SDSS J142241.39+541715.3" 215.67246 54.2876 2.660 2.307 2.600 nan nan nan
"SDSS J142241.42+391815.4" 215.67275 39.3044 3.505 2.756 3.431 nan nan nan
"SDSS J142242.13+461310.2" 215.67557 46.2195 3.727 2.569 3.649 2.9023 21.10 0.15
"SDSS J142243.02+441721.2" 215.67927 44.2893 3.545 2.526 3.470 3.3621 20.50 0.15
"SDSS J142244.45+382330.6" 215.68521 38.3919 3.728 3.259 3.650 nan nan nan
"SDSS J142253.02+235534.4" 215.72095 23.9262 2.961 2.307 2.896 nan nan nan
"SDSS J142257.66+375807.3" 215.74029 37.9687 3.181 3.002 3.112 nan nan nan
"SDSS J142259.77+380523.5" 215.74907 38.0899 2.361 2.307 2.306 nan nan nan
"SDSS J142301.64+075803.7" 215.75685 7.9677 3.218 2.899 3.149 2.9076 20.15 0.20
"SDSS J142306.46+590420.2" 215.77694 59.0723 3.221 2.512 3.152 nan nan nan
"SDSS J142325.92+130300.6" 215.85801 13.0502 5.048 4.103 4.947 nan nan nan
"SDSS J142328.65+481801.2" 215.86942 48.3004 3.007 2.340 2.941 nan nan nan
"SDSS J142329.50+402412.9" 215.87296 40.4036 3.054 2.429 2.987 nan nan nan
"SDSS J142329.98+004138.4" 215.87492 0.6940 3.779 2.977 3.701 nan nan nan
"SDSS J142333.40+455051.2" 215.88919 45.8476 3.283 2.537 3.213 nan nan nan
"SDSS J142338.57+052834.0" 215.91075 5.4761 3.790 2.958 3.711 nan nan nan
"SDSS J142340.27+331435.8" 215.91782 33.2433 2.875 2.307 2.811 nan nan nan
"SDSS J142346.63+564143.9" 215.94431 56.6955 3.060 2.357 2.993 nan nan nan
"SDSS J142346.90+563444.8" 215.94544 56.5791 3.190 2.479 3.121 3.0224 20.30 0.15
"SDSS J142347.22+613848.3" 215.94677 61.6468 2.897 2.307 2.833 2.6071 20.95 0.15
nan nan nan nan nan nan 2.7148 20.80 0.15
"SDSS J142352.24+404604.4" 215.96768 40.7679 3.342 2.898 3.271 nan nan nan
"SDSS J142355.40+460733.6" 215.98086 46.1260 3.202 2.836 3.133 nan nan nan
"SDSS J142357.35+371642.2" 215.98898 37.2784 3.396 2.507 3.324 3.0224 20.05 0.20
"SDSS J142359.69-022933.8" 215.99874 -2.4927 3.679 3.216 3.602 nan nan nan
"SDSS J142403.82+091351.7" 216.01595 9.2311 2.872 2.307 2.808 2.3211 20.20 0.20
"SDSS J142430.13+361036.0" 216.12557 36.1767 2.445 2.307 2.388 nan nan nan
"SDSS J142440.39+515527.3" 216.16831 51.9243 3.922 3.435 3.841 nan nan nan
"SDSS J142446.29+054717.3" 216.19291 5.7881 2.394 2.307 2.338 2.3078 20.40 0.15
"SDSS J142451.40+574540.6" 216.21424 57.7613 2.806 2.499 2.744 nan nan nan
"SDSS J142502.12+233437.9" 216.25887 23.5772 3.612 2.447 3.536 3.1868 21.00 0.15
"SDSS J142514.69+434909.4" 216.31123 43.8193 2.585 2.307 2.526 nan nan nan
"SDSS J142522.79+394337.9" 216.34510 39.7273 3.359 2.628 3.287 nan nan nan
"SDSS J142526.09+082718.4" 216.35875 8.4551 4.955 4.025 4.856 nan nan nan
"SDSS J142537.71+545834.2" 216.40713 54.9762 3.373 3.042 3.301 nan nan nan
"SDSS J142539.09+453504.0" 216.41291 45.5845 4.028 3.606 3.946 nan nan nan
"SBS 1424+543" 216.43052 54.1054 3.248 2.307 3.178 nan nan nan
"SDSS J142545.42+491654.0" 216.43929 49.2817 4.227 3.753 4.141 nan nan nan
"SDSS J142555.22+373900.7" 216.48011 37.6502 2.731 2.349 2.670 nan nan nan
"SDSS J142613.05+535129.1" 216.55442 53.8581 3.235 2.375 3.166 nan nan nan
"SDSS J142618.25+053439.2" 216.57608 5.5776 3.035 2.636 2.969 nan nan nan
"SDSS J142619.76+025949.7" 216.58237 2.9971 2.894 2.630 2.830 nan nan nan
"SDSS J142623.15+351154.9" 216.59649 35.1986 3.477 3.176 3.404 nan nan nan
"SDSS J142644.91+042653.4" 216.68713 4.4482 2.622 2.307 2.563 nan nan nan
"SDSS J142647.80+002739.9" 216.69920 0.4611 3.713 3.246 3.636 nan nan nan
"SDSS J142651.02+380906.1" 216.71259 38.1517 3.009 2.449 2.943 nan nan nan
"SDSS J142656.04+394604.8" 216.73351 39.7680 2.459 2.307 2.402 nan nan nan
"SBS 1425+606" 216.73407 60.4308 3.192 2.307 3.123 2.8267 20.30 0.10
"SDSS J142704.23-030745.6" 216.76765 -3.1294 3.320 2.994 3.249 nan nan nan
"SDSS J142704.63+065410.6" 216.76931 6.9030 3.175 2.332 3.107 nan nan nan
"SDSS J142705.86+330817.9" 216.77443 33.1383 4.703 3.812 4.608 4.0930 20.30 0.20
"SDSS J142709.41+342847.7" 216.78921 34.4799 3.172 2.810 3.104 nan nan nan
"SDSS J142709.81+001450.2" 216.79090 0.2473 2.908 2.307 2.844 nan nan nan
"SDSS J142714.57+465913.7" 216.81072 46.9872 3.206 2.487 3.137 nan nan nan
"SDSS J142715.33-012631.2" 216.81389 -1.4420 2.521 2.307 2.463 nan nan nan
"SDSS J142727.98+461914.2" 216.86661 46.3206 3.205 2.440 3.136 2.6256 20.50 0.20
"SDSS J142743.12+123440.0" 216.92969 12.5778 2.415 2.310 2.359 nan nan nan
"SDSS J142745.71+550410.2" 216.94047 55.0695 3.155 2.886 3.087 nan nan nan
"SDSS J142746.83+441718.8" 216.94514 44.2886 2.498 2.307 2.441 nan nan nan
"SDSS J142749.56-012941.3" 216.95652 -1.4948 3.434 2.699 3.361 3.0018 20.35 0.15
"SDSS J142755.85-002951.0" 216.98273 -0.4975 3.365 2.331 3.293 nan nan nan
"SDSS J142836.58+065647.1" 217.15244 6.9464 3.034 2.307 2.968 nan nan nan
"SDSS J142840.38-012755.2" 217.16827 -1.4653 2.603 2.307 2.544 nan nan nan
"SDSS J142848.50+504710.2" 217.20211 50.7862 3.374 2.960 3.302 2.9872 20.60 0.20
"SDSS J142858.01+344149.9" 217.24172 34.6972 3.076 2.725 3.009 nan nan nan
"SDSS J142903.03-014519.3" 217.26264 -1.7554 3.399 2.471 3.327 nan nan nan
"SDSS J142915.19+343820.3" 217.31332 34.6390 2.351 2.307 2.296 nan nan nan
"SDSS J142921.86+320624.6" 217.34114 32.1068 3.097 2.307 3.030 2.4370 20.20 0.20
"SDSS J142933.00+631412.4" 217.38755 63.2368 2.753 2.678 2.691 nan nan nan
"SDSS J142938.90+644826.5" 217.41216 64.8074 2.533 2.438 2.475 nan nan nan
"SDSS J142946.07+121612.8" 217.44199 12.2702 3.197 2.768 3.128 nan nan nan
"SDSS J142947.70+114316.7" 217.44878 11.7213 2.408 2.307 2.352 nan nan nan
"SDSS J142951.86+631631.9" 217.46614 63.2755 2.404 2.307 2.348 nan nan nan
"SDSS J142954.00+450335.3" 217.47501 45.0598 2.433 2.307 2.377 nan nan nan
"SDSS J142957.09-011757.1" 217.48790 -1.2992 3.111 2.925 3.044 nan nan nan
"SDSS J143002.55+565647.5" 217.51071 56.9466 2.526 2.307 2.468 nan nan nan
"SDSS J143005.32+451042.2" 217.52220 45.1784 3.108 2.368 3.041 2.7525 20.10 0.20
"SDSS J143007.33+483052.9" 217.53063 48.5147 3.987 3.516 3.905 nan nan nan
"SDSS J143009.54+550535.0" 217.53980 55.0931 3.722 3.367 3.645 nan nan nan
"SDSS J143012.35+430333.0" 217.55150 43.0592 2.736 2.353 2.675 nan nan nan
"SDSS J143031.61+282831.5" 217.63176 28.4754 4.306 2.811 4.219 nan nan nan
"LBQS 1428+0202" 217.67016 1.8278 2.110 1.634 2.059 nan nan nan
"SDSS J143044.40+560627.3" 217.68504 56.1076 3.288 2.909 3.218 nan nan nan
"SDSS J143048.84+481102.7" 217.70350 48.1841 2.499 2.334 2.442 nan nan nan
"SDSS J143049.38+651050.5" 217.70585 65.1807 2.743 2.359 2.682 nan nan nan
"SDSS J143051.26+071833.2" 217.71360 7.3092 3.123 2.715 3.055 nan nan nan
"SDSS J143052.63+094654.8" 217.71933 9.7819 2.587 2.525 2.528 nan nan nan
"SDSS J143057.15+625113.0" 217.73821 62.8536 2.509 2.307 2.451 nan nan nan
"SDSS J143108.97+381000.7" 217.78738 38.1669 3.211 2.341 3.142 nan nan nan
"SDSS J143111.46+334230.2" 217.79779 33.7084 2.343 2.307 2.288 nan nan nan
"SDSS J143118.10+572428.6" 217.82546 57.4079 3.231 2.347 3.162 nan nan nan
"SDSS J143119.22+521242.2" 217.83012 52.2117 2.556 2.488 2.498 nan nan nan
"SDSS J143133.97+460132.2" 217.89159 46.0256 2.639 2.326 2.579 nan nan nan
"SDSS J143147.40+124519.5" 217.94753 12.7554 2.362 2.307 2.307 nan nan nan
"SDSS J143153.23+531400.3" 217.97182 53.2334 2.615 2.307 2.556 nan nan nan
"SDSS J143157.92+121722.1" 217.99134 12.2895 3.424 2.510 3.351 nan nan nan
"SDSS J143159.30-015609.3" 217.99709 -1.9359 3.325 2.356 3.254 nan nan nan
"SDSS J143211.03+480210.5" 218.04599 48.0363 2.458 2.307 2.401 nan nan nan
"[HB89] 1429+118" 218.05360 11.6648 2.990 2.307 2.925 nan nan nan
"SDSS J143222.86+423350.0" 218.09527 42.5639 2.787 2.400 2.725 nan nan nan
"SDSS J143224.77+394024.4" 218.10321 39.6735 4.292 3.105 4.205 3.2740 21.00 0.15
"LBQS 1429-0053" 218.12190 -1.1045 2.080 1.719 2.029 nan nan nan
