QSO RA Dec zem zmin zmax zabs logN elogN
"SDSS J005653.25-094121.7" 14.22191 -9.6894 3.244 2.837 3.174 nan nan nan
"SDSS J005700.18+143737.7" 14.25082 14.6272 2.643 2.307 2.583 nan nan nan
"[HB89] 0054-006" 14.32084 -0.4092 2.760 1.854 2.698 nan nan nan
"LBQS 0055-2744" 14.39545 -27.4744 2.200 1.567 2.148 nan nan nan
"LBQS 0055+0141" 14.40445 1.9646 2.230 1.651 2.177 nan nan nan
"LBQS 0055-0200" 14.45244 -1.7398 1.980 1.782 1.931 nan nan nan
"[HB89] 0055-269" 14.49135 -26.7206 3.661 1.600 3.585 nan nan nan
"SDSS J005814.30+011530.3" 14.55966 1.2584 2.495 2.307 2.438 nan nan nan
"LBQS 0055+0025" 14.60313 0.6871 1.910 1.634 1.862 nan nan nan
"LBQS 0056+0125" 14.82340 1.7018 3.160 2.197 3.092 2.7750 21.00 0.20
"LBQS 0056-0241" 14.83463 -2.4280 2.230 1.779 2.177 nan nan nan
"SDSS J005922.65+000301.4" 14.84438 0.0504 4.154 3.784 4.069 nan nan nan
"[VV2006] J145833.4+681321" 14.97594 68.2225 4.291 2.990 4.204 nan nan nan
"PMN J0100-2708" 15.05104 -27.1477 3.546 2.192 3.471 nan nan nan
"LBQS 0057-0225" 15.06875 -2.1536 2.010 1.715 1.961 nan nan nan
"LBQS 0058-2604" 15.13165 -25.8096 2.470 1.606 2.413 nan nan nan
"LBQS 0058-0227" 15.18627 -2.1880 2.230 1.712 2.177 nan nan nan
"LBQS 0058+0155" 15.22565 2.1935 1.950 1.634 1.902 nan nan nan
"[WHO91] 0058-292" 15.26916 -28.9669 3.070 1.778 3.003 2.6711 21.20 0.20
"LBQS 0059-0207" 15.42597 -1.8641 2.290 1.653 2.236 nan nan nan
"LBQS 0059-2625" 15.47005 -26.1496 2.100 1.614 2.049 nan nan nan
"LBQS 0059+0035" 15.61464 0.8602 2.533 2.307 2.475 nan nan nan
"LBQS 0100-3105" 15.76132 -30.8271 2.640 1.687 2.580 2.1310 20.50 0.20
"LBQS 0100+0146" 15.78476 2.0387 1.910 1.692 1.862 nan nan nan
"[HB89] 0100+130" 15.79708 13.2717 2.690 1.640 2.629 2.3093 21.40 0.20
"LBQS 0101-2548" 15.88873 -25.5400 1.970 1.596 1.921 nan nan nan
"LBQS 0101-3025" 15.98043 -30.1634 3.164 1.937 3.096 nan nan nan
"LBQS 0102-0240" 16.22542 -2.4014 1.840 1.731 1.793 nan nan nan
"UM 669" 16.32002 -18.7784 3.040 2.044 2.974 2.3693 21.00 0.20
"LBQS 0102-0214" 16.32121 -1.9742 1.980 1.649 1.931 1.7431 20.60 0.20
"LBQS 0103-0140" 16.41762 -1.4157 2.210 1.634 2.157 nan nan nan
"LBQS 0103-2901" 16.48548 -28.7581 2.870 1.922 2.807 nan nan nan
"PSS J0106+2601" 16.50333 26.0174 4.309 2.764 4.222 3.9600 20.50 0.20
"SDSS J010619.24+004823.3" 16.58017 0.8065 4.449 3.598 4.358 nan nan nan
"LBQS 0104+0030" 16.70014 0.7744 1.870 1.667 1.823 nan nan nan
"PC 0104+0215" 16.70685 2.5171 4.171 2.881 4.086 nan nan nan
"SDSS J010657.94-085500.1" 16.74144 -8.9167 2.346 2.307 2.291 nan nan nan
"LBQS 0105-2649" 16.92472 -26.5582 2.460 1.667 2.403 nan nan nan
"SDSS J010758.75-101916.7" 16.99482 -10.3213 2.555 2.307 2.497 nan nan nan
"SDSS J010815.26+000708.5" 17.06359 0.1191 2.355 2.307 2.300 nan nan nan
"SDSS J010822.69+001147.9" 17.09455 0.1967 3.708 2.879 3.631 nan nan nan
"LBQS 0106-0230" 17.15057 -2.2422 2.280 1.634 2.226 nan nan nan
"LBQS 0106+0119" 17.16155 1.5834 2.100 1.871 2.049 nan nan nan
"SDSS J010858.02+005114.5" 17.24176 0.8541 2.952 2.553 2.887 2.7570 20.60 0.15
"FBQS J0109-0928" 17.27473 -9.4805 2.582 2.307 2.523 nan nan nan
"LBQS 0107+0022" 17.47655 0.6370 1.970 1.634 1.921 nan nan nan
"LBQS 0108+0028" 17.65869 0.7483 2.010 1.733 1.961 nan nan nan
"LBQS 0109+0213" 18.07045 2.4966 2.350 1.734 2.295 nan nan nan
"SDSS J011237.34+001929.7" 18.15564 0.3249 2.697 2.645 2.636 nan nan nan
"LBQS 0110-0107" 18.16766 -0.8676 1.890 1.643 1.843 nan nan nan
"BRI J0113-2803" 18.43488 -28.0548 4.314 2.784 4.227 3.0745 19.50 0.10
nan nan nan nan nan nan 3.1060 21.20 0.10
nan nan nan nan nan nan 3.8905 19.50 0.10
"SDSS J011351.96-093551.0" 18.46652 -9.5976 3.669 2.643 3.592 nan nan nan
"[VCV96] BR 0111-28" 18.46876 -28.2354 4.300 2.709 4.213 3.1043 21.00 0.20
"[VCV96] Q 0112-27" 18.72010 -27.2358 2.894 1.784 2.830 nan nan nan
"[HB89] 0112+030" 18.72167 3.2492 2.810 1.813 2.747 2.4227 21.00 0.20
"[VCV96] Q 0112-30" 18.76958 -30.4206 2.990 1.881 2.925 2.4191 20.50 0.20
nan nan nan nan nan nan 2.7023 20.30 0.20
"SDSS J011532.42-105300.2" 18.88508 -10.8834 2.960 2.786 2.895 nan nan nan
"SDSS J011545.58-091457.3" 18.93994 -9.2493 2.512 2.307 2.454 nan nan nan
"SDSS J011546.19-100145.8" 18.94252 -10.0294 2.507 2.307 2.449 nan nan nan
"UM 670" 19.34737 -8.6923 3.163 1.838 3.095 nan nan nan
"PSS J0117+1552" 19.37987 15.8712 4.243 2.364 4.157 2.5230 20.10 0.15
"[VCV96] Q 0115-30" 19.39167 -29.7747 3.249 1.733 3.179 nan nan nan
"PSS J0118+0320" 19.50000 3.3333 4.232 2.901 4.146 4.1280 19.95 0.15
"SDSS J011847.34+004654.9" 19.69732 0.7819 2.664 2.307 2.604 nan nan nan
"SDSS J012019.99+000735.5" 20.08331 0.1266 4.101 3.230 4.017 nan nan nan
"SDSS J012020.36+132433.6" 20.08488 13.4093 2.567 2.307 2.508 nan nan nan
"PSS J0121+0347" 20.35898 3.7851 4.125 2.545 4.041 2.9770 19.50 0.10
"2MASSi J0121560+144824" 20.48342 14.8067 2.865 2.307 2.802 nan nan nan
"SDSS J012211.11+150914.3" 20.54633 15.1540 4.460 3.471 4.370 3.5194 20.45 0.20
"SDSS J012230.61+133437.8" 20.62758 13.5772 3.013 2.307 2.947 2.3486 20.30 0.15
"SDSS J0124+0044" 21.01571 0.7424 3.837 2.077 3.758 2.2610 20.70 0.15
"SDSS J012412.45-010049.9" 21.05195 -1.0138 2.830 2.307 2.767 nan nan nan
"SDSS J012509.42-104300.8" 21.28927 -10.7169 4.498 3.639 4.406 4.1870 20.50 0.20
"SDSS J0125-1027" 21.37857 -10.4611 3.351 2.347 3.280 nan nan nan
"SDSS J012606.60+142825.9" 21.52752 14.4739 2.775 2.732 2.713 nan nan nan
"[HB89] 0123+257" 21.67830 25.9837 2.370 1.644 2.315 nan nan nan
"SDSS J012656.34+153642.9" 21.73479 15.6119 3.267 2.382 3.197 nan nan nan
"SDSS J012700.68-004559.1" 21.75287 -0.7664 4.084 2.546 4.001 3.7280 20.85 0.10
"SDSS J012747.80+140543.2" 21.94919 14.0954 2.488 2.307 2.431 nan nan nan
"SDSS J012906.01+145907.1" 22.27508 14.9853 3.864 3.049 3.784 3.2355 20.85 0.20
