QSO	PI_DATE	SPEC_PREFIX	Z_EM	QSO_Olam0	QSO_Olam1	QSO_Rlam0	QSO_Rlam1	OBS_Olam0	OBS_Olam1	LyaS2N	DR	S2N	SPECRES	dv	RA	DE
J130542+092427	Wolfe_Apr_14_15_2012	J130542+092427	2.062	3128	5992	1021	1956	3128	5992	2.70	1	3.0	95500	2.60	3.4283371597230716	0.16421705969278427
J130554+303252	Chaffee_April_20_1998	J130554+303252	1.759	3470	5030	1257	1823	3470	5030	-1.00	2	3.0	95600	2.60	3.418832387504919	0.5377863631622883
J130554+303252	Chaffee_Jun_12_2003	J130554+303252	1.759	3470	5030	1257	1823	3470	5028	-1.00	2	5.0	95600	2.60	3.4291974616002	0.5331578469487356
J130554+303252	Chaffee_May_18_1998	J130554+303252	1.759	3470	5030	1257	1823	3475	4985	-1.00	2	11.0	95600	2.60	3.429174917764029	0.5331864509559211
J131011+460124	Sargent_April_13_14_15_1999	J131011+460124	2.133	3123	5119	996	1633	3569	5119	20.00	2	9.0	95600	2.60	3.438192452232666	0.8079007904061474
J131011+460124	Sargent_April_13_14_15_1999	J131011+460124_spec2	2.133	3123	5119	996	1633	3317	4849	9.25	2	8.0	95600	2.60	3.438209905525186	0.8078881852504385
J131011+460124	Sargent_April_13_14_15_1999	J131011+460124_spec3	2.133	3123	5119	996	1633	3123	4526	13.91	2	7.0	95600	2.60	3.4382171777304027	0.807886245995714
J131011+460124	Sargent_April_13_14_15_1999	J131011+460124_spec4	2.133	3123	5119	996	1633	3316	4852	8.73	2	8.0	95600	2.60	3.438204814981534	0.8078872156230763
J131040+542449	Wolfe_Mar_17_18_2005	J131040+542449	1.929	3244	6136	1107	2094	3244	6136	5.05	1	3.0	95500	2.60	3.4499530625090205	0.9497020047391511
J131215+423900	Sargent_April_7_8_9_2007	J131215+423900	2.566	3102	6068	869	1701	3102	5983	24.67	1	13.0	47700	1.30	3.45930802729971	0.7483448233776088
J131215+423900	Cowie_Feb_22_23_24_1998	J131215+423900	2.566	3102	6068	869	1701	3953	6068	6.04	2	5.0	71700	2.60	3.4568892918446545	0.7444396491762714
J131215+423900	Cowie_Feb_22_23_24_1998	J131215+423900_spec2	2.566	3102	6068	869	1701	3964	6061	5.47	2	5.0	71700	2.60	3.456864566346918	0.7443863196713493
J131341+144140	Prochaska_Jun_2_3_2006	J131341+144140	1.884	3243	6132	1124	2126	3244	6130	4.70	1	10.0	47700	1.30	3.4630895740123644	0.25648970836363777
J131341+144140	Wolfe_Jan_24_25_26_2011	J131341+144140	1.884	3243	6132	1124	2126	3243	6132	4.61	1	4.0	47700	1.30	3.4631252078179267	0.2565250997623588
J131855+531207	Prochaska_Jan_5_2006	J131855+531207	2.321	3838	6899	1155	2077	3838	6899	14.36	1	10.0	71600	2.60	3.4859875665780087	0.9285510382733855
J133108+303032	Smith_Apr_26_27_1997	J133108+303032	0.849	3159	4908	1708	2654	3369	4908	-1.00	2	4.0	95600	2.60	3.529110289071659	0.5369873902158198
J133108+303032	Smith_Apr_26_27_1997	J133108+303032_spec2	0.849	3159	4908	1708	2654	3159	4660	-1.00	2	4.0	95600	2.60	3.529122651820527	0.5369738154327487
J133108+303032	Smith_Apr_26_27_1997	J133108+303032_spec3	0.849	3159	4908	1708	2654	3372	4908	-1.00	2	5.0	95600	2.60	3.529118288497397	0.5370038738809776
J133532+082404	Wolfe_Apr_14_15_2012	J133532+082404	1.909	3326	6185	1143	2126	3326	6185	5.17	1	4.0	95500	2.60	3.558457273223422	0.14663141303789806
J134002+110630	Wolfe_Mar_11_12_2000	J134002+110630	2.913	4660	7044	1190	1800	4660	7044	-1.00	2	6.0	71700	2.60	3.5673351813519	0.19828443225067025
J134004+281653	Tytler_Apr_9_1997	J134004+281653	2.517	3160	4711	898	1339	3160	4711	12.09	2	10.0	71700	2.60	3.56820930041894	0.4980248539197709
J134328+572147	Prochaska_April_10_11_2007	J134328+572147	3.034	3075	6190	762	1534	3075	5966	8.43	1	8.0	47700	1.30	3.593123875491159	1.0011785517719995
J134328+572147	Prochaska_April_10_11_2007	J134328+572147_spec2	3.034	3075	6190	762	1534	3333	6190	9.05	1	9.0	47700	1.30	3.593122421050116	1.0011770973309562
J134544+262506	Prochaska_Apr_14_2005	J134544+262506	2.031	3501	6386	1155	2106	3501	6386	17.72	1	5.0	71600	2.60	3.6136460386125258	0.4939315720101631
J134916-033715	Wolfe_Apr_5_6_1997	J134916-033715	3.992	5897	8347	1181	1672	5897	8347	-1.00	2	6.0	71700	2.60	3.607077055640332	-0.05888450008020202
J135038-251216	Sargent_April_30_May_1_2005	J135038-251216	2.534	3109	5981	879	1692	3128	5981	31.03	1	4.0	47700	1.30	3.6244241739641128	-0.43991944942511185
J135038-251216	Sargent_Apr_4_5_2002	J135038-251216	2.534	3109	5981	879	1692	3109	4648	19.77	2	8.0	95600	2.60	3.624426355625678	-0.43987145287068197
J135317+532825	Wolfe_Mar_24_25_2008	J135317+532825	2.92	3497	7985	892	2036	3497	7985	12.15	1	11.0	47700	1.30	3.63585826222624	0.9332866983104634
J135405+313902	Steidel_Mar_1_1998	J135405+313902	1.32	3988	6160	1718	2655	3988	6160	-1.00	2	6.0	95600	2.60	3.6394143705771786	0.5523933145604375
J140501+444800	Ellison_May_20_2005	J140501+444800	2.218	3215	6095	999	1894	3215	6095	5.23	1	5.0	35800	1.30	3.6871149462547055	0.7818905364146207
J140501+444800	Martin_May_16_17_2005	J140501+444800	2.218	3215	6095	999	1894	3252	6095	9.30	1	4.0	35800	1.30	3.6870436786435827	0.7818929604830264
J141719+413237	Prochaska_Jun_2_3_2006	J141719+413237	2.023	3281	6188	1085	2046	3281	6183	17.00	1	6.0	71600	2.60	3.7408281812053525	0.7249913483585623
J141719+413237	Wolfe_Mar_17_18_2005	J141719+413237	2.023	3281	6188	1085	2046	3304	6188	9.99	1	16.0	71600	2.60	3.740770003563619	0.7250723122433076
J141906+592312	Prochaska_April_10_11_2007	J141906+592312	2.32	3108	5966	936	1796	3108	5966	20.39	1	6.0	47700	1.30	3.748708342778107	1.0364574737189782
J142438+225600	Cowie_Feb_13_14_15_16_1999	J142438+225600	3.62	3569	7297	772	1579	4766	7156	97.21	2	13.0	71700	2.60	3.772684803377379	0.40026605363348183
J142438+225600	Cowie_Feb_13_14_15_16_1999	J142438+225600_spec2	3.62	3569	7297	772	1579	4800	7203	114.02	2	21.0	71700	2.60	3.772699347787812	0.4002408433220641
J142438+225600	Cowie_Jul_2_3_1995	J142438+225600	3.62	3569	7297	772	1579	4711	7156	120.58	2	21.0	71700	2.60	3.7726738950695538	0.40026508400611954
J142438+225600	Cowie_May_25_26_1996	J142438+225600	3.62	3569	7297	772	1579	4865	7202	83.65	2	24.0	71700	2.60	3.7726571689975557	0.40027041695661175
J142438+225600	Sargent_Apr_24_25_26_1998	J142438+225600	3.62	3569	7297	772	1579	4154	6592	28.61	2	11.0	143400	2.60	3.762702247276493	0.4042022559104101
J142438+225600	Sargent_Apr_24_25_26_1998	J142438+225600_spec2	3.62	3569	7297	772	1579	4174	6541	25.19	2	12.0	143400	2.60	3.76270079283545	0.40420128628304786
J142438+225600	Sargent_Apr_24_25_26_1998	J142438+225600_spec3	3.62	3569	7297	772	1579	4831	7297	40.66	2	11.0	143400	2.60	3.7626964295123195	0.40417316708954354
J142438+225600	Sargent_April_13_14_15_1999	J142438+225600	3.62	3569	7297	772	1579	3569	5119	45.39	2	3.0	143400	2.60	3.762694247850755	0.4041833481768468
J142438+225600	Sargent_April_13_14_15_1999	J142438+225600_spec2	3.62	3569	7297	772	1579	3583	5130	35.44	2	5.0	143400	2.60	3.762694975071277	0.4042085584882645
J142438+225600	Sargent_Feb_22_1995	J142438+225600	3.62	3569	7297	772	1579	3989	6076	55.20	2	29.0	95600	2.60	3.7627124283637965	0.4042022559104101
J142656+602550	Wolfe_Mar_2_3_2002	J142656+602550	3.191	5616	7975	1340	1902	5616	7975	-1.00	2	14.0	95600	2.60	3.776680880143924	1.0586425477665504
J143316+313126	Prochaska_Apr_6_2006	J143316+313126	2.94	3245	6095	823	1546	3245	6095	47.55	1	12.0	71600	2.60	3.8103591897227203	0.5501995326534169
J143500+535953	Prochaska_May_2_3_2005	J143500+535953	2.635	3472	6379	955	1754	3472	6379	41.05	1	3.0	47700	1.30	3.8178684688294253	0.9424438591192603
J143912+295448	Sargent_Mar_23_24_25_1998	J143912+295448	2.992	3575	5121	895	1282	3575	5121	13.12	2	6.0	95600	2.60	3.826834370641025	0.5258313425998082
J143916-015627	Prochaska_April_10_11_2007	J143916-015627	2.162	3075	5967	972	1887	3075	5967	3.83	1	9.0	47700	1.30	3.8365442190462864	-0.033876840781209935
J144331+272436	Wolfe_Mar_19_20_1999	J144331+272436	4.443	6070	8482	1115	1558	6070	8482	12.63	2	6.0	71700	2.60	3.845566116838054	0.48210357263213366
J144453+291905	Sargent_April_7_8_9_2007	J144453+291905	2.66	2995	6083	818	1662	3102	5981	61.20	1	12.0	47700	1.30	3.8516885864099453	0.5153826381445356
J144453+291905	Steidel_May_25_2009	J144453+291905	2.66	2995	6083	818	1662	2995	5880	53.26	1	11.0	35800	1.30	3.8610770033446316	0.5117033871185953
J144453+291905	Sargent_Jun_21_1995	J144453+291905	2.66	2995	6083	818	1662	3872	6076	15.70	2	9.0	95600	2.60	3.8516893136304673	0.515371002616189
J144453+291905	Sargent_Jun_21_1995	J144453+291905_spec2	2.66	2995	6083	818	1662	3830	6083	14.93	2	13.0	95600	2.60	3.851679859763686	0.51536712410674
J144516+095836	Chaffee_Jul_13_1997	J144516+095836	3.529	4105	6542	906	1444	4126	6542	15.63	2	8.0	95600	2.60	3.8521081926509457	0.17780105422379236
J144516+095836	Chaffee_Jul_6_1997	J144516+095836	3.529	4105	6542	906	1444	4105	6512	21.49	2	7.0	95600	2.60	3.8521118287535545	0.1778301430446589
J145408+511443	Wolfe_July_14_2005	J145408+511443	3.635	4075	8565	879	1847	4075	8565	11.01	1	7.0	35800	1.30	3.901514827672297	0.8944056107128407
J145435+094100	Wolfe_Apr_14_15_2012	J145435+094100	1.945	3152	5992	1070	2034	3152	5992	6.48	1	5.0	95500	2.60	3.9033103351402865	0.16905937873970628
J150932+111313	Wolfe_Apr_14_15_2012	J150932+111313	2.11	3128	5992	1005	1926	3128	5992	3.85	1	3.0	95500	2.60	3.9685769225186145	0.19587151455978807
J151224+465233	Pettini_May_7_2007	J151224+465233	3.359	3588	6423	823	1473	3588	6423	10.26	1	4.0	71600	2.60	3.98111565875315	0.8181497516248031
J152144+525449	Sargent_Apr_24_25_26_1998	J152144+525449	1.855	4154	6592	1454	2308	4154	6592	-1.00	2	3.0	143400	2.60	4.021887277300259	0.9235167330087439
J152144+525449	Sargent_Apr_24_25_26_1998	J152144+525449_spec2	1.855	4154	6592	1454	2308	4233	6541	-1.00	2	3.0	143400	2.60	4.0218850956386945	0.9235128544992951
J152156+520238	Sargent_April_7_8_9_2007	J152156+520238	2.208	3102	5982	966	1864	3102	5982	39.92	1	10.0	47700	1.30	4.022737398090085	0.9083381862805666
J154153+315329	Wolfe_Mar_24_25_2008	J154153+315329	2.557	4417	7480	1241	2102	4417	7480	-1.00	1	5.0	47700	1.30	4.109763150697131	0.5565733781189639
J155152+191104	Sargent_April_7_8_9_2007	J155152+191104	2.843	2995	6091	779	1584	3102	5982	17.26	1	6.0	47700	1.30	4.143578177733999	0.3375282544158212
J155152+191104	Steidel_May_25_2009	J155152+191104	2.843	2995	6091	779	1584	2995	5880	85.00	1	12.0	35800	1.30	4.153368747617165	0.33483802329934437
J155152+191104	Sargent_Mar_13_14_15_1999	J155152+191104	2.843	2995	6091	779	1584	3645	6078	99.32	2	15.0	95600	2.60	4.143575996072434	0.33743613981641035
J155152+191104	Sargent_Mar_13_14_15_1999	J155152+191104_spec2	2.843	2995	6091	779	1584	3895	6091	111.36	2	20.0	95600	2.60	4.143571632749304	0.33743032205223705
J155556+480015	Prochaska_Jun_4_2006	J155556+480015	3.298	4018	8565	934	1992	4018	8564	7.62	1	3.0	35800	1.30	4.171108565022644	0.8378365807736179
J155556+480015	Wolfe_July_14_2005	J155556+480015	3.298	4018	8565	934	1992	4078	8565	3.26	1	9.0	35800	1.30	4.171104928920036	0.8378293085684013
J155610+374039	Tytler_Apr_9_1997	J155610+374039	2.658	3247	4775	887	1305	3247	4775	9.73	2	6.0	71700	2.60	4.164144701307187	0.6601174600619332
J155810-003120	Prochaska_Apr_6_2006	J155810-003120	2.827	3335	6201	871	1620	3361	6201	24.07	1	12.0	71600	2.60	4.180804596237994	-0.009122739037438139
J155810-003120	Prochaska_Jun_2_3_2006	J155810-003120	2.827	3335	6201	871	1620	3335	6201	43.25	1	11.0	71600	2.60	4.180811868443212	-0.009094619843933786
J155814+405337	Chaffee_Jun_18_2006	J155814+405337	2.635	3101	5979	853	1644	3101	5979	18.31	1	7.0	71600	2.60	4.181122391605962	0.7137189454590844
J155855+332318	Chaffee_April_20_1998	J155855+332318	1.654	3477	5029	1310	1894	3841	5029	-1.00	2	4.0	95600	2.60	4.175648602739395	0.5851996867337577
J155855+332318	Chaffee_May_18_1998	J155855+332318	1.654	3477	5029	1310	1894	3477	4985	-1.00	2	5.0	95600	2.60	4.175639876093135	0.5852108374484232
J160355+573054	Tytler_April_16_17_18_1999	J160355+573054	2.85	3209	4602	833	1195	3306	4599	52.87	2	8.0	71700	2.60	4.201454022950653	1.0061871619115421
J160355+573054	Tytler_May_10_2000	J160355+573054	2.85	3209	4602	833	1195	3209	4602	21.83	2	7.0	71700	2.60	4.201419843586135	1.0061944341167586
J160413+395121	Wolfe_Apri_27_28_2007	J160413+395121	3.13	4291	8767	1038	2122	4291	8767	11.64	1	6.0	47700	1.30	4.207265969359794	0.6956130937243677
J160455+381201	Sargent_Apr_4_5_2002	J160455+381201	2.551	3105	7053	874	1986	3105	4646	31.67	2	14.0	95600	2.60	4.210286116186266	0.6667002602240383
J160455+381201	Sargent_Apr_4_5_2002	J160455+381201_spec2	2.551	3105	7053	874	1986	3109	4647	30.81	2	15.0	95600	2.60	4.210350838812694	0.6667128653797472
J160455+381201	Sargent_Jun_7_8_2003	J160455+381201	2.551	3105	7053	874	1986	4583	7020	-1.00	2	15.0	95600	2.60	4.210275207878441	0.666720137584964
J160455+381201	Sargent_Jun_7_8_2003	J160455+381201_spec2	2.551	3105	7053	874	1986	4612	7053	-1.00	2	18.0	95600	2.60	4.2102708445553105	0.666720137584964
J160455+381214	Sargent_April_30_May_1_2005	J160455+381214	2.551	3030	5981	853	1684	3125	5981	98.44	1	3.0	47700	1.30	4.210272298996354	0.6667191679576018
J160455+381214	Steidel_May_25_2009	J160455+381214	2.551	3030	5981	853	1684	3030	5879	55.90	1	10.0	35800	1.30	4.210273753437397	0.666724985721775
